date,MKT(3F),SMB(3F),HML(3F),MKT(5F),SMB(5F),HML(5F),RMW(5F),CMA(5F)
1969-03,2.64,-0.3,-0.51,2.64,-0.45,-0.51,-1.43,-0.35
1969-04,1.46,-0.86,-0.03,1.46,-0.8,-0.03,0.41,0.06
1969-05,-0.1,-0.21,0.7,-0.1,-0.11,0.7,-0.95,1.39
1969-06,-7.18,-5.37,-1.08,-7.18,-5.45,-1.08,4.32,-1.6
1969-07,-7.0,-3.24,1.2,-7.0,-3.41,1.2,1.48,1.91
1969-08,4.68,0.93,-3.79,4.68,0.7,-3.79,1.13,-4.02
1969-09,-2.98,1.18,-3.27,-2.98,1.29,-3.27,3.39,-0.82
1969-10,5.06,3.91,-3.16,5.06,3.96,-3.16,0.05,-2.15
1969-11,-3.79,-2.58,-1.19,-3.79,-2.45,-1.19,1.46,0.3
1969-12,-2.63,-3.71,-2.86,-2.63,-3.76,-2.86,2.54,-1.81
1970-01,-8.1,2.93,3.13,-8.1,3.12,3.13,-1.72,3.84
1970-02,5.13,-2.58,3.93,5.13,-2.76,3.93,-2.29,2.76
1970-03,-1.06,-2.32,3.99,-1.06,-2.41,3.99,-1.0,4.29
1970-04,-11.0,-6.15,6.18,-11.0,-6.4,6.18,-0.64,6.21
